Study,Author,Organism,Age,Primary,Prop_sp,Sec_rich,Prim_rich,Jaccard,Soren,Disturbance,Isolation
63,Wu,M,13,OG,0.500,7,2,0.125,0.222,C,1
63,Wu,M,13,OG,0.500,7,4,0.222,0.364,C,1
63,Wu,M,13,OG,0.600,7,5,0.333,0.5,C,1
63,Wu,M,13,OG,0.500,7,2,0.125,0.222,C,1
63,Wu,M,13,OG,0.667,7,3,0.25,0.4,C,1
63,Wu,M,13,OG,0.667,7,3,0.25,0.4,C,1
63,Wu,M,13,OG,0.500,6,4,0.25,0.4,C,1
63,Wu,M,13,OG,0.500,6,2,0.143,0.25,C,1
63,Wu,M,13,OG,0.500,6,4,0.25,0.4,C,1
63,Wu,M,13,OG,0.600,6,5,0.375,0.545,C,1
63,Wu,M,13,OG,0.500,6,2,0.143,0.25,C,1
63,Wu,M,13,OG,0.667,6,3,0.286,0.444,C,1
63,Wu,M,13,OG,0.667,6,3,0.286,0.444,C,1
63,Wu,M,13,OG,0.500,5,4,0.286,0.444,C,1
63,Wu,M,13,OG,0.500,5,2,0.167,0.286,C,1
63,Wu,M,13,OG,0.500,5,4,0.286,0.444,C,1
63,Wu,M,13,OG,0.600,5,5,0.429,0.6,C,1
63,Wu,M,13,OG,0.500,5,2,0.167,0.286,C,1
63,Wu,M,13,OG,0.667,5,3,0.333,0.5,C,1
63,Wu,M,13,OG,0.667,5,3,0.333,0.5,C,1
63,Wu,M,13,OG,0.500,2,4,0.5,0.667,C,1
63,Wu,M,13,OG,1.000,2,2,1,1,C,1
63,Wu,M,13,OG,0.500,2,4,0.5,0.667,C,1
63,Wu,M,13,OG,0.400,2,5,0.4,0.571,C,1
63,Wu,M,13,OG,1.000,2,2,1,1,C,1
63,Wu,M,13,OG,0.667,2,3,0.667,0.8,C,1
63,Wu,M,13,OG,0.667,2,3,0.667,0.8,C,1
63,Wu,M,13,OG,0.750,4,4,0.6,0.75,C,1
63,Wu,M,13,OG,1.000,4,2,0.5,0.667,C,1
63,Wu,M,13,OG,0.750,4,4,0.6,0.75,C,1
63,Wu,M,13,OG,0.800,4,5,0.8,0.889,C,1
63,Wu,M,13,OG,1.000,4,2,0.5,0.667,C,1
63,Wu,M,13,OG,1.000,4,3,0.75,0.857,C,1
63,Wu,M,13,OG,1.000,4,3,0.75,0.857,C,1
