"ID","Site","Depth","Disturbance","Age","Type","Measurement","Soil_C_Ref","Soil_C_Sec","Soil_type","proploss","proploss2","Prop","Ran"
"Cifuentes Jara 2008","Cifuentes Jara 2008r",100,"Pasture",20,"Moist","Soil carbon",93.6,162,"Alfisol",0.730769230769231,1.86075234071501,1.73076923076923,"93.6"
"Cifuentes Jara 2008","Cifuentes Jara 2008s",100,"Pasture",28,"Moist","Soil carbon",93.6,104.1,"Alfisol",0.112179487179487,0.225307273759521,1.11217948717949,"93.6"
"Cifuentes Jara 2008","Cifuentes Jara 2008t",100,"Pasture",30,"Moist","Soil carbon",93.6,112.7,"Alfisol",0.204059829059829,0.413930295660217,1.20405982905983,"93.6"
"Cifuentes Jara 2008","Cifuentes Jara 2008u",100,"Pasture",40,"Moist","Soil carbon",93.6,132.4,"Alfisol",0.414529914529915,0.882137449548938,1.41452991452991,"93.6"
"Cifuentes Jara 2008","Cifuentes Jara 2008v",100,"Pasture",2,"Wet","Soil carbon",93.6,191.4,"Ultisol",1.0448717948718,NA,2.0448717948718,"93.6"
"Cifuentes Jara 2008","Cifuentes Jara 2008w",100,"Pasture",6,"Wet","Soil carbon",93.6,107.7,"Ultisol",0.150641025641026,0.303592562502057,1.15064102564103,"93.6"
"Cifuentes Jara 2008","Cifuentes Jara 2008x",100,"Pasture",10,"Wet","Soil carbon",93.6,98.5,"Inceptisol",0.0523504273504274,0.104796658862509,1.05235042735043,"93.6"
"Cifuentes Jara 2008","Cifuentes Jara 2008y",100,"Pasture",15,"Wet","Soil carbon",93.6,88.7,"Ultisol",-0.0523504273504273,-0.104796658862509,0.947649572649573,"93.6"
"Cifuentes Jara 2008","Cifuentes Jara 2008z",100,"Pasture",22,"Wet","Soil carbon",93.6,105.4,"Ultisol",0.126068376068376,0.253485392498561,1.12606837606838,"93.6"
"Cifuentes Jara 2008","Cifuentes Jara 2008aa",100,"Pasture",3,"Wet","Soil carbon",193.9,211.4,"Inceptisol",0.0902527075812274,0.180997929863446,1.09025270758123,"193.9"
"Cifuentes Jara 2008","Cifuentes Jara 2008ab",100,"Pasture",6,"Wet","Soil carbon",193.9,170,"Inceptisol",-0.123259412068076,-0.247778773448598,0.876740587931924,"193.9"
"Cifuentes Jara 2008","Cifuentes Jara 2008ac",100,"Pasture",10,"Wet","Soil carbon",193.9,216.2,"Inceptisol",0.115007735946364,0.231037718151246,1.11500773594636,"193.9"
"Cifuentes Jara 2008","Cifuentes Jara 2008ad",100,"Pasture",15,"Wet","Soil carbon",193.9,167.2,"Inceptisol",-0.137699845281073,-0.277160406168801,0.862300154718927,"193.9"
"Cifuentes Jara 2008","Cifuentes Jara 2008ae",100,"Pasture",21,"Wet","Soil carbon",193.9,184.7,"Inceptisol",-0.0474471376998454,-0.0949655813811448,0.952552862300155,"193.9"
"Cifuentes Jara 2008","Cifuentes Jara 2008af",100,"Pasture",26,"Wet","Soil carbon",193.9,213.3,"Inceptisol",0.100051572975761,0.200774883834823,1.10005157297576,"193.9"
"Cifuentes Jara 2008","Cifuentes Jara 2008ag",100,"Pasture",27,"Wet","Soil carbon",193.9,187.9,"Inceptisol",-0.0309437854564208,-0.0619073350869348,0.969056214543579,"193.9"
"Cifuentes Jara 2008","Cifuentes Jara 2008ah",100,"Pasture",32,"Wet","Soil carbon",193.9,217.8,"Inceptisol",0.123259412068076,0.247778773448598,1.12325941206808,"193.9"
"Cifuentes Jara 2008","Cifuentes Jara 2008ai",100,"Pasture",0.7,"Wet","Soil carbon",125,197.2,"Ultisol",0.5776,1.31770725145632,1.5776,"125"
"Cifuentes Jara 2008","Cifuentes Jara 2008aj",100,"Pasture",1,"Wet","Soil carbon",125,118.4,"Ultisol",-0.0528,-0.105698296441311,0.9472,"125"
"Cifuentes Jara 2008","Cifuentes Jara 2008ak",100,"Pasture",3,"Wet","Soil carbon",125,180.5,"Ultisol",0.444,0.954404025202189,1.444,"125"
"Cifuentes Jara 2008","Cifuentes Jara 2008al",100,"Pasture",6.5,"Wet","Soil carbon",125,124.6,"Ultisol",-0.00320000000000005,-0.00640002184546773,0.9968,"125"
"Cifuentes Jara 2008","Cifuentes Jara 2008am",100,"Pasture",9,"Wet","Soil carbon",125,208.8,"Ultisol",0.6704,1.622938599653,1.6704,"125"
"Cifuentes Jara 2008","Cifuentes Jara 2008an",100,"Pasture",18,"Wet","Soil carbon",125,203.8,"Ultisol",0.6304,1.48415932270093,1.6304,"125"
"Cifuentes Jara 2008","Cifuentes Jara 2008ao",100,"Pasture",20,"Wet","Soil carbon",125,98.9,"Ultisol",-0.2088,-0.423832630650027,0.7912,"125"
"Cifuentes Jara 2008","Cifuentes Jara 2008ap",100,"Pasture",25,"Wet","Soil carbon",125,184.6,"Inceptisol",0.4768,1.0376690636056,1.4768,"125"
"Cifuentes Jara 2008","Cifuentes Jara 2008aq",100,"Pasture",29,"Wet","Soil carbon",125,170.1,"Inceptisol",0.3608,0.755610646629587,1.3608,"125"
"Cifuentes Jara 2008","Cifuentes Jara 2008ar",100,"Pasture",35,"Wet","Soil carbon",125,147,"Ultisol",0.176,0.3557035985491,1.176,"125"
"Cifuentes Jara 2008","Cifuentes Jara 2008as",100,"Pasture",60,"Wet","Soil carbon",125,97.2,"Inceptisol",-0.2224,-0.452359165266026,0.7776,"125"
"Cifuentes Jara 2008","Cifuentes Jara 2008at",100,"Pasture",0.5,"Wet","Soil carbon",240.5,239.3,"Ultisol",-0.00498960498960494,-0.00997929279510971,0.995010395010395,"240.5"
"Cifuentes Jara 2008","Cifuentes Jara 2008au",100,"Pasture",10,"Wet","Soil carbon",240.5,278.3,"Entisol",0.157172557172557,0.316972615073891,1.15717255717256,"240.5"
"Cifuentes Jara 2008","Cifuentes Jara 2008av",100,"Pasture",15,"Wet","Soil carbon",240.5,264.3,"Andisol",0.098960498960499,0.19857091306793,1.0989604989605,"240.5"
"Cifuentes Jara 2008","Cifuentes Jara 2008aw",100,"Pasture",19,"Wet","Soil carbon",240.5,287.5,"Andisol",0.195426195426195,0.395945347767569,1.1954261954262,"240.5"
"Cifuentes Jara 2008","Cifuentes Jara 2008ax",100,"Pasture",20,"Wet","Soil carbon",240.5,258,"Entisol",0.0727650727650728,0.145787813461499,1.07276507276507,"240.5"
"Cifuentes Jara 2008","Cifuentes Jara 2008ay",100,"Pasture",20,"Wet","Soil carbon",240.5,273.4,"Andisol",0.136798336798337,0.275322772998116,1.13679833679834,"240.5"
"Cifuentes Jara 2008","Cifuentes Jara 2008az",100,"Pasture",30,"Wet","Soil carbon",240.5,282,"Andisol",0.172557172557173,0.348602246213621,1.17255717255717,"240.5"
"Cifuentes Jara 2008","Cifuentes Jara 2008ba",100,"Pasture",35,"Wet","Soil carbon",240.5,315.3,"Entisol",0.311018711018711,0.643345642118498,1.31101871101871,"240.5"
"Cifuentes Jara 2008","Cifuentes Jara 2008bb",100,"Pasture",40,"Wet","Soil carbon",240.5,296.7,"Andisol",0.233679833679834,0.476156662620998,1.23367983367983,"240.5"
"Cifuentes Jara 2008","Cifuentes Jara 2008bc",100,"Pasture",50,"Wet","Soil carbon",240.5,289.7,"Ultisol",0.204573804573805,0.415003028329098,1.2045738045738,"240.5"
"Guariguata et al 1997","Guariguata et al 1997a",30,"Pasture",16.5,"Wet","Soil carbon",152.43,179.37,"Inceptisols & Ultisols",0.176736862822279,0.357224637438706,1.17673686282228,"152.43"
"Guariguata et al 1997","Guariguata et al 1997b",30,"Pasture",16,"Wet","Soil carbon",152.43,138.57,"Inceptisols & Ultisols",-0.0909269828773864,-0.1823576389892,0.909073017122614,"152.43"
"Guariguata et al 1997","Guariguata et al 1997c",30,"Pasture",17,"Wet","Soil carbon",152.43,128.91,"Inceptisols & Ultisols",-0.154300334579807,-0.311085377312581,0.845699665420193,"152.43"
"Rhodes et al 2000","Rhodes et al 2000a",10,"Pasture",17.5,"Montane","Soil carbon",156.00525,220.753,"-9999",0.415035711939182,0.883359248559837,1.41503571193918,"156.00525"
"Eaton et al 2009","Eaton et al 2009a",15,"Arable agriculture",2,"Dry","Soil carbon",315.00956125,226.38623,"-9999",-0.281335369308572,-0.578263260004209,0.718664630691428,"315.00956125"
"Eaton et al 2009","Eaton et al 2009b",15,"Arable agriculture",3,"Dry","Soil carbon",315.00956125,198.08795,"-9999",-0.371168452113134,-0.779555128644498,0.628831547886866,"315.00956125"
"Eaton et al 2009","Eaton et al 2009c",15,"Arable agriculture",3,"Dry","Soil carbon",315.00956125,186.61568,"-9999",-0.407587251448864,-0.865428746128529,0.592412748551136,"315.00956125"
"Eaton et al 2009","Eaton et al 2009d",15,"Arable agriculture",4,"Dry","Soil carbon",315.00956125,279.92352,"-9999",-0.111380877173296,-0.223689844182988,0.888619122826704,"315.00956125"
"Eaton et al 2009","Eaton et al 2009e",15,"Arable agriculture",4,"Dry","Soil carbon",315.00956125,293.69025,"-9999",-0.0676782989233791,-0.135563827952131,0.932321701076621,"315.00956125"
"Eaton et al 2009","Eaton et al 2009f",15,"Arable agriculture",5,"Dry","Soil carbon",315.00956125,177.43786,"-9999",-0.436722303615475,-0.936346869537229,0.563277696384525,"315.00956125"
"Eaton et al 2009","Eaton et al 2009g",15,"Arable agriculture",5,"Dry","Soil carbon",62.97872286,11.79575,"-9999",-0.812702616624639,-2.26987652984406,0.187297383375361,"62.97872286"
"Eaton et al 2009","Eaton et al 2009g",15,"Arable agriculture",5,"Dry","Soil carbon",315.00956125,295.21989,"-9999",-0.0628224463139211,-0.125810577694012,0.937177553686079,"315.00956125"
"Eaton et al 2009","Eaton et al 2009h",15,"Arable agriculture",5,"Dry","Soil carbon",62.97872286,13.88578,"-9999",-0.779516329175685,-2.0882732442538,0.220483670824315,"62.97872286"
"Eaton et al 2009","Eaton et al 2009h",15,"Arable agriculture",5,"Dry","Soil carbon",315.00956125,286.80688,"-9999",-0.0895296039208715,-0.1795399413175,0.910470396079128,"315.00956125"
"Eaton et al 2009","Eaton et al 2009i",15,"Arable agriculture",5,"Dry","Soil carbon",62.97872286,16.03583,"-9999",-0.745377021448224,-1.92494193384322,0.254622978551776,"62.97872286"
"Eaton et al 2009","Eaton et al 2009i",15,"Arable agriculture",5,"Dry","Soil carbon",315.00956125,278.39388,"-9999",-0.116236729782753,-0.233529011004936,0.883763270217247,"315.00956125"
