ID,Site,Disturbance,Age,Type,Tax,Prop,Prop2,lnRR,Proploss,Proploss2,Ran,Rich_Ref,Size,log_age,log_age_sq,Age_sq,Age_cu
Knight 1975,Knight 1975e,Pasture,80,Richness,Trees,0.862676056,0.538526251,-0.147716028,-0.137323944,-0.276394113,56.8,56.8,-9999,4.382026635,19.20215743,6400,512000
Knight 1975,Knight 1975f,Pasture,65,Richness,Trees,0.528169014,0.329709949,-0.638338944,-0.471830986,-1.024846138,56.8,56.8,-9999,4.17438727,17.42550908,4225,274625
Knight 1975,Knight 1975g,Pasture,50,Richness,Trees,1.091549296,0.681400562,0.087598059,0.091549296,0.183612713,56.8,56.8,-9999,3.912023005,15.30392399,2500,125000
Knight 1975,Knight 1975h,Pasture,65,Richness,Trees,1.197183099,0.747342552,0.179971379,0.197183099,0.399599989,56.8,56.8,-9999,4.17438727,17.42550908,4225,274625
Ding et al 2012,Ding et al 2012a,Shifting agriculture,55,Richness,Trees,0.485380117,0.302998945,-0.722822949,-0.514619883,-1.137987454,171,171,1,4.007333185,16.05871926,3025,166375
Ding et al 2012,Ding et al 2012c,Shifting agriculture,55,Richness,Trees,0.93125,0.581333592,-0.071227509,-0.06875,-0.137717251,160,160,1,4.007333185,16.05871926,3025,166375
Howorth et al 2006,Howorth et al 2006a,Shifting agriculture,10,Richness,Trees,0.342205323,0.21362196,-1.072344362,-0.657794677,-1.577832573,26.3,26.3,5,2.302585093,5.30189811,100,1000
Howorth et al 2006,Howorth et al 2006b,Shifting agriculture,20,Richness,Trees,0.437262357,0.272961393,-0.827221904,-0.562737643,-1.273661086,26.3,26.3,5,2.995732274,8.974411855,400,8000
Howorth et al 2006,Howorth et al 2006c,Shifting agriculture,35,Richness,Trees,0.684410646,0.427243919,-0.379197181,-0.315589354,-0.653481924,26.3,26.3,5,3.555348061,12.64049984,1225,42875
Long et al 2012,Long et al 2012a,Shifting agriculture,4.5,Richness,Trees,0.000864356,0.000539575,-7.053525646,-0.999135644,-7.746240555,94.8683,94.8683,2.5,1.504077397,2.262248815,20.25,91.125
