Study,Site,Disturbance,Age,Type,Ref_Type,Ref_age,Country,Lat,Long
Read et al 2003,Read et al 2003r,Shifting agriculture,24,Tropical dry forest,Primary forest,-9999,Mexico,18.45,-88.93333333
Benavides et al 2006,Benavides et al 2006W,Shifting agriculture,24,Tropical rainforest,Primary forest,-9977,Brazil,-3,-69.5
Köster et al 2009,Köster et al 2009b,Pasture,24,Tropical montane forest,Primary forest,-9999,Ecuador,-0.416666667,-79.01666667
Letcher et al 2009,Letcher et al 2009o,Pasture,24,Tropical rainforest,Primary forest,-9999,Costa Rica,10.43333333,-83.98333333
Letcher et al 2009,Letcher et al 2009p,Pasture,24,Tropical rainforest,Primary forest,-9999,Costa Rica,10.43333333,-83.98333333
Pena Claros et al 2003,Pena Claros et al 2003e,Arable agriculture,24,Tropical moist forest,Primary forest,-9999,Bolivia,-11.98333333,-65.71666667
Pena Claros et al 2003,Pena Claros et al 2003i,Arable agriculture,24,Tropical moist forest,Primary forest,-9999,Bolivia,-11.75,-67.33333333
Chazdon et al 2009,Chazdon et al 2009c,Pasture,24,Tropical rainforest,Primary forest,-9999,Costa Rica,10.449367,-84.098926
Cifuentes Jara 2008,Cifuentes Jara 2008ap,Pasture,25,Tropical rainforest,Primary forest,-9999,Costa Rica,10.506,-84.1327
Eaton et al 2009,Eaton et al 2009aa,Arable agriculture,25,Tropical dry forest,Primary forest,-9999,Mexico,18.42229,-89.391083
Eaton et al 2009,Eaton et al 2009ab,Arable agriculture,25,Tropical dry forest,Primary forest,-9999,Mexico,18.42229,-89.391083
Saynes et al 2005,Saynes et al 2005b,Arable agriculture,25,Tropical dry forest,Primary forest,-9999,Mexico,18.46666667,-99.01666667
Álvarez-Yépiz et al 2008,Álvarez-Yépiz et al 2008a,Arable agriculture,25,Tropical dry forest,Primary forest,-9999,Mexico,27.002549,-108.90269
Álvarez-Yépiz et al 2008,Álvarez-Yépiz et al 2008b,Arable agriculture,25,Tropical dry forest,Primary forest,-9999,Mexico,27.002549,-108.90269
Álvarez-Yépiz et al 2008,Álvarez-Yépiz et al 2008c,Arable agriculture,25,Tropical dry forest,Primary forest,-9999,Mexico,27.002549,-108.90269
Read et al 2003,Read et al 2003s,Shifting agriculture,25,Tropical dry forest,Primary forest,-9999,Mexico,18.45,-88.93333333
Read et al 2003,Read et al 2003t,Shifting agriculture,25,Tropical dry forest,Primary forest,-9999,Mexico,18.45,-88.93333333
Becknell 2012,Becknell 2012AJ,Pasture,25,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012AK,Pasture,25,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012AL,Pasture,25,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012AM,Pasture,25,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012AN,Pasture,25,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012AO,Pasture,25,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012AP,Pasture,25,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012AQ,Pasture,25,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012AR,Pasture,25,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012AS,Pasture,25,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Benavides et al 2006,Benavides et al 2006X,Shifting agriculture,25,Tropical rainforest,Primary forest,-9976,Brazil,-3,-69.5
Gehring et al 2005,Gehring et al 2005m,Shifting agriculture,25,Tropical moist forest,Primary forest,-9999,Brazil,-3,-60
Laska et al 2006,Laska et al 2006b,Pasture,25,Tropical moist forest,Primary forest,-9999,Costa Rica,10.431936,-84.017185
Kappelle et al 1995,Kappelle et al 1995f,Pasture,25,Tropical montane forest,Primary forest,-9999,Costa Rica,9.594444444,-83.74166667
Letcher et al 2009,Letcher et al 2009q,Pasture,25,Tropical rainforest,Primary forest,-9999,Costa Rica,10.43333333,-83.98333333
Nadkarni et al 2004,Nadkarni et al 2004a,Pasture,25,Tropical montane forest,Primary forest,-9999,Costa Rica,10.3,-84.8
Piotto et al 2009,Piotto et al 2009b,Shifting agriculture,25,Tropical moist forest,Primary forest,-9999,Brazil,-14.41666667,-39.08333333
Liebsch et al 2008,Liebsch et al 2008e,Shifting agriculture,25,Tropical rainforest,Primary forest,-9999,Brazil,-25.499066,-48.836975
Liebsch et al 2008,Liebsch et al 2008h,Shifting agriculture,25,Tropical rainforest,Primary forest,-9999,Brazil,-25.012195,-47.938843
Cifuentes Jara 2008,Cifuentes Jara 2008i,Pasture,26,Tropical dry forest,Primary forest,-9999,Costa Rica,10.7992,-85.6485
Cifuentes Jara 2008,Cifuentes Jara 2008af,Pasture,26,Tropical rainforest,Primary forest,-9999,Costa Rica,10.3948,-83.9868
Hughes et al 1999,Hughes et al 1999i,Arable agriculture,26,Tropical moist forest,Primary forest,-9999,Mexico,18.58333333,-95.08333333
Benavides et al 2006,Benavides et al 2006Y,Shifting agriculture,26,Tropical rainforest,Primary forest,-9975,Brazil,-3,-69.5
Cifuentes Jara 2008,Cifuentes Jara 2008j,Pasture,27,Tropical dry forest,Primary forest,-9999,Costa Rica,10.8393,-85.6152
Cifuentes Jara 2008,Cifuentes Jara 2008ag,Pasture,27,Tropical rainforest,Primary forest,-9999,Costa Rica,10.4165,-84.0029
Benavides et al 2006,Benavides et al 2006Z,Shifting agriculture,27,Tropical rainforest,Primary forest,-9974,Brazil,-3,-69.5
Letcher et al 2009,Letcher et al 2009r,Pasture,27,Tropical rainforest,Primary forest,-9999,Costa Rica,10.43333333,-83.98333333
Pena Claros et al 2003,Pena Claros et al 2003j,Arable agriculture,27,Tropical moist forest,Primary forest,-9999,Bolivia,-11.75,-67.33333333
Cifuentes Jara 2008,Cifuentes Jara 2008s,Pasture,28,Tropical moist forest,Primary forest,-9999,Costa Rica,9.7908,-84.9244
Benavides et al 2006,Benavides et al 2006AA,Shifting agriculture,28,Tropical rainforest,Primary forest,-9973,Brazil,-3,-69.5
Cifuentes Jara 2008,Cifuentes Jara 2008aq,Pasture,29,Tropical rainforest,Primary forest,-9999,Costa Rica,10.3888,-84.1327
Benavides et al 2006,Benavides et al 2006AB,Shifting agriculture,29,Tropical rainforest,Primary forest,-9972,Brazil,-3,-69.5
Chazdon et al 2009,Chazdon et al 2009h,Pasture,29,Tropical rainforest,Primary forest,-9999,Costa Rica,10.453566,-84.003396
Chazdon et al 2009,Chazdon et al 2009j,Pasture,29,Tropical rainforest,Primary forest,-9999,Costa Rica,10.453566,-84.003396
Cifuentes Jara 2008,Cifuentes Jara 2008t,Pasture,30,Tropical moist forest,Primary forest,-9999,Costa Rica,9.7855,-84.9498
Cifuentes Jara 2008,Cifuentes Jara 2008az,Pasture,30,Tropical rainforest,Primary forest,-9999,Costa Rica,10.2989,-84.7665
Hughes et al 1999,Hughes et al 1999j,Arable agriculture,30,Tropical moist forest,Primary forest,-9999,Mexico,18.58333333,-95.08333333
Kennard et al 2002,Kennard et al 2002j,Shifting agriculture,30,Tropical dry forest,Primary forest,-9999,Bolivia,-16.75,-61.75
Becknell 2012,Becknell 2012AT,Pasture,30,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012AU,Pasture,30,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012AV,Pasture,30,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Benavides et al 2006,Benavides et al 2006AC,Shifting agriculture,30,Tropical rainforest,Primary forest,-9971,Brazil,-3,-69.5
Marín-Spiotta et al 2007,Marín-Spiotta et al 2007c,Pasture,30,Tropical rainforest,Primary forest,-9999,Puerto Rico,10.81472222,-85.615
Kappelle et al 1995,Kappelle et al 1995g,Pasture,30,Tropical montane forest,Primary forest,-9999,Costa Rica,9.594444444,-83.74166667
Kappelle et al 1995,Kappelle et al 1995h,Pasture,30,Tropical montane forest,Primary forest,-9999,Costa Rica,9.594444444,-83.74166667
Saldarriaga et al 1988,Saldarriaga et al 1988i,Shifting agriculture,30,Tropical moist forest,Primary forest,-9999,Venezuela,1.933333333,-67.05
Marín-Spiotta et al 2007,Marín-Spiotta et al 2007j,Pasture,30,Tropical rainforest,Primary forest,-9999,Puerto Rico,10.81472222,-85.615
Marín-Spiotta et al 2007,Marín-Spiotta et al 2007k,Pasture,30,Tropical rainforest,Primary forest,-9999,Puerto Rico,10.81472222,-85.615
Werner 1984,Werner 1984d,Shifting agriculture,31,Tropical rainforest,Primary forest,-9999,Costa Rica,10.43333333,-83.98333333
Benavides et al 2006,Benavides et al 2006AD,Shifting agriculture,31,Tropical rainforest,Primary forest,-9970,Brazil,-3,-69.5
Cifuentes Jara 2008,Cifuentes Jara 2008ah,Pasture,32,Tropical rainforest,Primary forest,-9999,Costa Rica,10.417,-84.0036
Benavides et al 2006,Benavides et al 2006AE,Shifting agriculture,32,Tropical rainforest,Primary forest,-9969,Brazil,-3,-69.5
Lebrija-Trejos et al 2008,Lebrija-Trejos et al 2008i,Shifting agriculture,32,Tropical dry forest,Primary forest,-9999,Mexico,16.65833333,-95.01111111
Kappelle et al 1995,Kappelle et al 1995i,Pasture,32,Tropical montane forest,Primary forest,-9999,Costa Rica,9.594444444,-83.74166667
Letcher et al 2009,Letcher et al 2009s,Pasture,32,Tropical rainforest,Primary forest,-9999,Costa Rica,10.43333333,-83.98333333
Kappelle et al 1993,Kappelle et al 1993c,Pasture,32.5,Tropical montane forest,Primary forest,-9999,Costa Rica,9.594444444,-83.74166667
Becknell 2012,Becknell 2012AW,Pasture,33,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Benavides et al 2006,Benavides et al 2006AF,Shifting agriculture,33,Tropical rainforest,Primary forest,-9968,Brazil,-3,-69.5
Chazdon et al 2009,Chazdon et al 2009d,Pasture,33,Tropical rainforest,Primary forest,-9999,Costa Rica,10.449367,-84.098926
Benavides et al 2006,Benavides et al 2006AG,Shifting agriculture,34,Tropical rainforest,Primary forest,-9967,Brazil,-3,-69.5
Letcher et al 2009,Letcher et al 2009t,Pasture,34,Tropical rainforest,Primary forest,-9999,Costa Rica,10.43333333,-83.98333333
Cifuentes Jara 2008,Cifuentes Jara 2008ar,Pasture,35,Tropical rainforest,Primary forest,-9999,Costa Rica,8.4053,-83.3372
Cifuentes Jara 2008,Cifuentes Jara 2008ba,Pasture,35,Tropical rainforest,Primary forest,-9999,Costa Rica,10.2844,-84.1757
Becknell 2012,Becknell 2012AX,Pasture,35,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012AY,Pasture,35,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012AZ,Pasture,35,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012BA,Pasture,35,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012BB,Pasture,35,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012BC,Pasture,35,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012BD,Pasture,35,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Benavides et al 2006,Benavides et al 2006AH,Shifting agriculture,35,Tropical rainforest,Primary forest,-9966,Brazil,-3,-69.5
Howorth et al 2006,Howorth et al 2006c,Shifting agriculture,35,Tropical montane forest,Primary forest,-9999,Venezuela,10.414631,-67.334948
Letcher et al 2009,Letcher et al 2009u,Pasture,35,Tropical rainforest,Primary forest,-9999,Costa Rica,10.43333333,-83.98333333
Muñiz-Castro et al 2011,Muñiz-Castro et al 2011n,Pasture,35,Tropical montane forest,Primary forest,-9999,Mexico,19.48116667,-96.91666667
Saldarriaga et al 1988,Saldarriaga et al 1988j,Shifting agriculture,35,Tropical moist forest,Primary forest,-9999,Venezuela,1.933333333,-67.05
Saldarriaga et al 1988,Saldarriaga et al 1988k,Shifting agriculture,35,Tropical moist forest,Primary forest,-9999,Venezuela,1.933333333,-67.05
Woods et al 2012,Woods et al 2012a,Pasture,35,Tropical moist forest,Primary forest,-9999,Panama,9.15,-79.85
Woods et al 2012,Woods et al 2012b,Pasture,35,Tropical moist forest,Primary forest,-9999,Panama,9.15,-79.85
Benavides et al 2006,Benavides et al 2006AI,Shifting agriculture,36,Tropical rainforest,Primary forest,-9965,Brazil,-3,-69.5
Liebsch et al 2008,Liebsch et al 2008i,Shifting agriculture,36,Tropical rainforest,Primary forest,-9999,Brazil,-25.012195,-47.938843
Becknell 2012,Becknell 2012BE,Pasture,37,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012BF,Pasture,37,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Benavides et al 2006,Benavides et al 2006AJ,Shifting agriculture,37,Tropical rainforest,Primary forest,-9964,Brazil,-3,-69.5
Lebrija-Trejos et al 2008,Lebrija-Trejos et al 2008j,Shifting agriculture,37,Tropical dry forest,Primary forest,-9999,Mexico,16.65833333,-95.01111111
Cascante Marin et al 2006,Cascante Marin et al 2006b,Pasture,37.5,Tropical moist forest,Primary forest,-9999,Costa Rica,10.28611111,-84.79444444
Benavides et al 2006,Benavides et al 2006AK,Shifting agriculture,38,Tropical rainforest,Primary forest,-9963,Brazil,-3,-69.5
Gunther et al 2006,Gunther et al 2006a,Pasture,38,Tropical montane forest,Primary forest,-9999,Ecuador,-3.966666667,-79.06666667
Benavides et al 2006,Benavides et al 2006AL,Shifting agriculture,39,Tropical rainforest,Primary forest,-9962,Brazil,-3,-69.5
Cifuentes Jara 2008,Cifuentes Jara 2008u,Pasture,40,Tropical moist forest,Primary forest,-9999,Costa Rica,9.8401,-84.5403
Cifuentes Jara 2008,Cifuentes Jara 2008bb,Pasture,40,Tropical rainforest,Primary forest,-9999,Costa Rica,10.2981,-84.7684
Sommer et al 2000,Sommer et al 2000a,Shifting agriculture,40,NA,Primary forest,-9999,Brazil,-1.111609,-47.571539
Johnson et al 2001,Johnson et al 2001c,Shifting agriculture,40,NA,Primary forest,-9999,Brazil,-1.2,-47.25833333
Kennard et al 2002,Kennard et al 2002k,Shifting agriculture,40,Tropical dry forest,Primary forest,-9999,Bolivia,-16.75,-61.75
Becknell 2012,Becknell 2012BG,Pasture,40,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012BH,Pasture,40,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012BI,Pasture,40,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012BJ,Pasture,40,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012BK,Pasture,40,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Benavides et al 2006,Benavides et al 2006AM,Shifting agriculture,40,Tropical rainforest,Primary forest,-9961,Brazil,-3,-69.5
Lebrija-Trejos et al 2008,Lebrija-Trejos et al 2008k,Shifting agriculture,40,Tropical dry forest,Primary forest,-9999,Mexico,16.65833333,-95.01111111
Dewalt et al 2000,Dewalt et al 2000c,Pasture,40,Tropical rainforest,Primary forest,-9999,Panama,9.166666667,-79.85
Dewalt et al 2000,Dewalt et al 2000d,Pasture,40,Tropical rainforest,Primary forest,-9999,Panama,9.166666667,-79.85
Dewalt et al 2000,Dewalt et al 2000g,Pasture,40,Tropical rainforest,Primary forest,-9999,Panama,9.166666667,-79.85
Dewalt et al 2000,Dewalt et al 2000h,Pasture,40,Tropical rainforest,Primary forest,-9999,Panama,9.166666667,-79.85
Martin et al 2002,Martin et al 2002a,Arable agriculture,40,Tropical rainforest,Primary forest,-9999,Dominican Republic,19.255405,-71.096649
Pena Claros et al 2003,Pena Claros et al 2003k,Arable agriculture,40,Tropical moist forest,Primary forest,-9999,Bolivia,-11.75,-67.33333333
Piotto et al 2009,Piotto et al 2009c,Shifting agriculture,40,Tropical moist forest,Primary forest,-9999,Brazil,-14.41666667,-39.08333333
Saldarriaga et al 1988,Saldarriaga et al 1988l,Shifting agriculture,40,Tropical moist forest,Primary forest,-9999,Venezuela,1.933333333,-67.05
DeWalt et al 2003,DeWalt et al 2003c,Arable agriculture,40,Tropical moist forest,Primary forest,-9999,Panama,9.150909,-79.849319
DeWalt et al 2003,DeWalt et al 2003d,Arable agriculture,40,Tropical moist forest,Primary forest,-9999,Panama,9.150909,-79.849319
Ferreira et al 1999,Ferreira et al 1999a,Shifting agriculture,40,Tropical rainforest,Primary forest,NA,Brazil,-1.927737,-60.743408
Ferreira et al 1999,Ferreira et al 1999b,Shifting agriculture,40,Tropical rainforest,Primary forest,NA,Brazil,-1.927737,-60.743408
Ferreira et al 1999,Ferreira et al 1999c,Shifting agriculture,40,Tropical rainforest,Primary forest,NA,Brazil,-1.927737,-60.743408
Benavides et al 2006,Benavides et al 2006AN,Shifting agriculture,41,Tropical rainforest,Primary forest,-9960,Brazil,-3,-69.5
Benavides et al 2006,Benavides et al 2006AO,Shifting agriculture,42,Tropical rainforest,Primary forest,-9959,Brazil,-3,-69.5
Letcher et al 2009,Letcher et al 2009v,Pasture,42,Tropical rainforest,Primary forest,-9999,Costa Rica,10.43333333,-83.98333333
Benavides et al 2006,Benavides et al 2006AP,Shifting agriculture,43,Tropical rainforest,Primary forest,-9958,Brazil,-3,-69.5
Benavides et al 2006,Benavides et al 2006AQ,Shifting agriculture,44,Tropical rainforest,Primary forest,-9957,Brazil,-3,-69.5
Letcher et al 2009,Letcher et al 2009w,Pasture,44,Tropical rainforest,Primary forest,-9999,Costa Rica,10.43333333,-83.98333333
Bautista Cruz et al 2005,Bautista Cruz et al 2005 c,Arable agriculture,45,Tropical dry forest,Primary forest,100,Mexico,17.31666667,-96.36666667
Bautista Cruz et al 2005,Bautista Cruz et al 2005 g,Arable agriculture,45,Tropical dry forest,Primary forest,100,Mexico,17.31666667,-96.36666667
Bautista Cruz et al 2005,Bautista Cruz et al 2005 k,Arable agriculture,45,Tropical dry forest,Primary forest,100,Mexico,17.31666667,-96.36666667
Becknell 2012,Becknell 2012BL,Pasture,45,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012BM,Pasture,45,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012BN,Pasture,45,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Benavides et al 2006,Benavides et al 2006AR,Shifting agriculture,45,Tropical rainforest,Primary forest,-9956,Brazil,-3,-69.5
Benavides et al 2006,Benavides et al 2006AS,Shifting agriculture,46,Tropical rainforest,Primary forest,-9955,Brazil,-3,-69.5
Benavides et al 2006,Benavides et al 2006AT,Shifting agriculture,47,Tropical rainforest,Primary forest,-9954,Brazil,-3,-69.5
Grau et al 1997,Grau et al 1997c,Arable agriculture,47.5,Tropical montane forest,Primary forest,-9999,Argentina,-26.718627,-65.366936
Grau et al 1997,Grau et al 1997d,Arable agriculture,47.5,Tropical montane forest,Primary forest,-9999,Argentina,-26.718627,-65.366936
Cifuentes Jara 2008,Cifuentes Jara 2008bc,Pasture,50,Tropical rainforest,Primary forest,-9999,Costa Rica,10.2652,-84.1565
Hughes et al 1999,Hughes et al 1999k,Arable agriculture,50,Tropical moist forest,Primary forest,-9999,Mexico,18.58333333,-95.08333333
Kennard et al 2002,Kennard et al 2002l,Shifting agriculture,50,Tropical dry forest,Primary forest,-9999,Bolivia,-16.75,-61.75
Becknell 2012,Becknell 2012BO,Pasture,50,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012BP,Pasture,50,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012BQ,Pasture,50,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012BR,Pasture,50,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Knight 1975,Knight 1975b,Pasture,50,Tropical rainforest,Primary forest,-9999,Panama,9.152604,-79.850032
Knight 1975,Knight 1975g,Pasture,50,Tropical rainforest,Primary forest,-9999,Panama,9.152604,-79.850032
Long et al 2012,Long et al 2012c,Shifting agriculture,50,Tropical rainforest,Primary forest,-9999,"China, People's Republic of",18.24,110
Liebsch et al 2008,Liebsch et al 2008j,Shifting agriculture,50,Tropical rainforest,Primary forest,-9999,Brazil,-25.012195,-47.938843
Brearley et al 2004,Brearley et al 2004a,Shifting agriculture,55,Tropical rainforest,Primary forest,-9999,Indonesia,-0.1,114
Ding et al 2012,Ding et al 2012a,Shifting agriculture,55,Tropical rainforest,Primary forest,-9999,"China, People's Republic of",19.175653,109.263153
Ding et al 2012,Ding et al 2012c,Shifting agriculture,55,Tropical montane forest,Primary forest,-9999,"China, People's Republic of",19.175653,109.263153
Woods et al 2012,Woods et al 2012c,Pasture,55,Tropical moist forest,Primary forest,-9999,Panama,9.15,-79.85
Woods et al 2012,Woods et al 2012d,Pasture,55,Tropical moist forest,Primary forest,-9999,Panama,9.15,-79.85
Cifuentes Jara 2008,Cifuentes Jara 2008as,Pasture,60,Tropical rainforest,Primary forest,-9999,Costa Rica,8.3961,-83.3374
Saynes et al 2005,Saynes et al 2005c,Arable agriculture,60,Tropical dry forest,Primary forest,-9999,Mexico,18.46666667,-99.01666667
Becknell 2012,Becknell 2012BS,Pasture,60,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012BT,Pasture,60,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012BU,Pasture,60,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012BV,Pasture,60,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Lorenz et al 2009,Lorenz et al 2009b,Pasture,60,Tropical dry forest,Primary forest,-9999,Costa Rica,10.81472222,-85.615
Marín-Spiotta et al 2007,Marín-Spiotta et al 2007d,Pasture,60,Tropical rainforest,Primary forest,-9999,Puerto Rico,10.81472222,-85.615
Saldarriaga et al 1988,Saldarriaga et al 1988m,Shifting agriculture,60,Tropical moist forest,Primary forest,-9999,Venezuela,1.933333333,-67.05
Saldarriaga et al 1988,Saldarriaga et al 1988n,Shifting agriculture,60,Tropical moist forest,Primary forest,-9999,Venezuela,1.933333333,-67.05
Saldarriaga et al 1988,Saldarriaga et al 1988o,Shifting agriculture,60,Tropical moist forest,Primary forest,-9999,Venezuela,1.933333333,-67.05
Andel et al 2001,Andel et al 2001b,Pasture,60,Tropical moist forest,Primary forest,NA,Guyana,7.632309,-58.899593
Marín-Spiotta et al 2007,Marín-Spiotta et al 2007l,Pasture,60,Tropical rainforest,Primary forest,-9999,Puerto Rico,10.81472222,-85.615
Marín-Spiotta et al 2007,Marín-Spiotta et al 2007m,Pasture,60,Tropical rainforest,Primary forest,-9999,Puerto Rico,10.81472222,-85.615
Becknell 2012,Becknell 2012BW,Pasture,65,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012BX,Pasture,65,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012BY,Pasture,65,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Knight 1975,Knight 1975c,Pasture,65,Tropical rainforest,Primary forest,-9999,Panama,9.152604,-79.850032
Knight 1975,Knight 1975d,Pasture,65,Tropical rainforest,Primary forest,-9999,Panama,9.152604,-79.850032
Knight 1975,Knight 1975f,Pasture,65,Tropical rainforest,Primary forest,-9999,Panama,9.152604,-79.850032
Knight 1975,Knight 1975h,Pasture,65,Tropical rainforest,Primary forest,-9999,Panama,9.152604,-79.850032
Becknell 2012,Becknell 2012BZ,Pasture,70,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012CA,Pasture,70,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012CB,Pasture,70,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Dewalt et al 2000,Dewalt et al 2000e,Pasture,70,Tropical rainforest,Primary forest,-9999,Panama,9.166666667,-79.85
Dewalt et al 2000,Dewalt et al 2000f,Pasture,70,Tropical rainforest,Primary forest,-9999,Panama,9.166666667,-79.85
DeWalt et al 2003,DeWalt et al 2003e,Arable agriculture,70,Tropical moist forest,Primary forest,-9999,Panama,9.150909,-79.849319
DeWalt et al 2003,DeWalt et al 2003f,Arable agriculture,70,Tropical moist forest,Primary forest,-9999,Panama,9.150909,-79.849319
Bautista Cruz et al 2005,Bautista Cruz et al 2005 d,Arable agriculture,75,Tropical dry forest,Primary forest,100,Mexico,17.31666667,-96.36666667
Bautista Cruz et al 2005,Bautista Cruz et al 2005 h,Arable agriculture,75,Tropical dry forest,Primary forest,100,Mexico,17.31666667,-96.36666667
Bautista Cruz et al 2005,Bautista Cruz et al 2005 l,Arable agriculture,75,Tropical dry forest,Primary forest,100,Mexico,17.31666667,-96.36666667
Marín-Spiotta et al 2007,Marín-Spiotta et al 2007e,Pasture,80,Tropical rainforest,Primary forest,-9999,Puerto Rico,10.81472222,-85.615
Knight 1975,Knight 1975e,Pasture,80,Tropical rainforest,Primary forest,-9999,Panama,9.152604,-79.850032
Muñiz-Castro et al 2011,Muñiz-Castro et al 2011o,Pasture,80,Tropical montane forest,Primary forest,-9999,Mexico,19.48116667,-96.91666667
Saldarriaga et al 1988,Saldarriaga et al 1988p,Shifting agriculture,80,Tropical moist forest,Primary forest,-9999,Venezuela,1.933333333,-67.05
Saldarriaga et al 1988,Saldarriaga et al 1988q,Shifting agriculture,80,Tropical moist forest,Primary forest,-9999,Venezuela,1.933333333,-67.05
Saldarriaga et al 1988,Saldarriaga et al 1988r,Shifting agriculture,80,Tropical moist forest,Primary forest,-9999,Venezuela,1.933333333,-67.05
Saldarriaga et al 1988,Saldarriaga et al 1988s,Shifting agriculture,80,Tropical moist forest,Primary forest,-9999,Venezuela,1.933333333,-67.05
Liebsch et al 2008,Liebsch et al 2008c,Shifting agriculture,80,Tropical rainforest,Primary forest,-9999,Brazil,-25.425912,-48.707886
Marín-Spiotta et al 2007,Marín-Spiotta et al 2007n,Pasture,80,Tropical rainforest,Primary forest,-9999,Puerto Rico,10.81472222,-85.615
Marín-Spiotta et al 2007,Marín-Spiotta et al 2007o,Pasture,80,Tropical rainforest,Primary forest,-9999,Puerto Rico,10.81472222,-85.615
Cifuentes Jara 2008,Cifuentes Jara 2008k,Pasture,82,Tropical dry forest,Primary forest,-9999,Costa Rica,10.8375,-85.6147
Woods et al 2012,Woods et al 2012g,Pasture,85,Tropical moist forest,Primary forest,-9999,Panama,9.15,-79.85
Lorenz et al 2009,Lorenz et al 2009a,Pasture,90,Tropical dry forest,Primary forest,-9999,Costa Rica,10.81472222,-85.615
Turner et al 1997,Turner et al 1997a,Arable agriculture,100,Tropical rainforest,Primary forest,-9999,Singapore,1.378136,103.801918
