Study,Site,Disturbance,Age,Type,Ref_Type,Ref_age,Country,Lat,Long
Gehring et al 2005,Gehring et al 2005e,Shifting agriculture,5,Tropical moist forest,Primary forest,-9999,Brazil,-3,-60
Lebrija-Trejos et al 2008,Lebrija-Trejos et al 2008d,Shifting agriculture,5,Tropical dry forest,Primary forest,-9999,Mexico,16.65833333,-95.01111111
Muñiz-Castro et al 2011,Muñiz-Castro et al 2011e,Pasture,5,Tropical montane forest,Primary forest,-9999,Mexico,19.48116667,-96.91666667
Pena Claros et al 2003,Pena Claros et al 2003b,Arable agriculture,5,Tropical moist forest,Primary forest,-9999,Bolivia,-11.98333333,-65.71666667
Becknell 2012,Becknell 2012F,Pasture,5.5,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Klanderaud et al 2009,Klanderaud et al 2009b,Shifting agriculture,5.5,Tropical rainforest,Primary forest,-9999,Madagascar,-18.9,48.46666667
Muñiz-Castro et al 2011,Muñiz-Castro et al 2011f,Pasture,5.5,Tropical montane forest,Primary forest,-9999,Mexico,19.48116667,-96.91666667
Cifuentes Jara 2008,Cifuentes Jara 2008w,Pasture,6,Tropical rainforest,Primary forest,-9999,Costa Rica,9.7761,-84.618
Cifuentes Jara 2008,Cifuentes Jara 2008ab,Pasture,6,Tropical rainforest,Primary forest,-9999,Costa Rica,10.4315,-84.0205
Eaton et al 2009,Eaton et al 2009k,Arable agriculture,6,Tropical dry forest,Primary forest,-9999,Mexico,18.42229,-89.391083
Templer et al 2004,Templer et al 2004a,Pasture,6,NA,Primary forest,-9999,Dominican Republic,19,-69.667
Templer et al 2004,Templer et al 2004c,Pasture,6,NA,Primary forest,-9999,Dominican Republic,19,-69.667
Read et al 2003,Read et al 2003n,Shifting agriculture,6,Tropical dry forest,Primary forest,-9999,Mexico,18.45,-88.93333333
Benavides et al 2006,Benavides et al 2006E,Shifting agriculture,6,Tropical rainforest,Primary forest,-9995,Brazil,-3,-69.5
Eaton et al 2006,Eaton et al 2006g,Shifting agriculture,6,Tropical dry forest,Primary forest,-9999,Mexico,18.81666667,-89.45
Fernandes et al 1995,Fernandes et al 1995a,Pasture,6,Tropical rainforest,Primary forest,-9999,Costa Rica,18.81666667,-89.45
Williams-Linera et al 2010,Williams-Linera et al 2010e,Pasture,6,Tropical dry forest,Primary forest,-9999,Mexico,19.299155,-96.492577
Cifuentes Jara 2008,Cifuentes Jara 2008al,Pasture,6.5,Tropical rainforest,Primary forest,-9999,Costa Rica,8.4086,-83.3363
Neumann-Cosel et al 2011,Neumann-Cosel et al 2011a,Pasture,6.5,Tropical moist forest,Primary forest,-9999,Panama,9.203358,-79.716896
Neumann-Cosel et al 2011,Neumann-Cosel et al 2011b,Pasture,6.5,Tropical moist forest,Primary forest,-9999,Panama,9.203358,-79.716896
Neumann-Cosel et al 2011,Neumann-Cosel et al 2011c,Pasture,6.5,Tropical moist forest,Primary forest,-9999,Panama,9.203358,-79.716896
Neumann-Cosel et al 2011,Neumann-Cosel et al 2011d,Pasture,6.5,Tropical moist forest,Primary forest,-9999,Panama,9.203358,-79.716896
Neumann-Cosel et al 2011,Neumann-Cosel et al 2011e,Pasture,6.5,Tropical moist forest,Primary forest,-9999,Panama,9.203358,-79.716896
Neumann-Cosel et al 2011,Neumann-Cosel et al 2011f,Pasture,6.5,Tropical moist forest,Primary forest,-9999,Panama,9.203358,-79.716896
Neumann-Cosel et al 2011,Neumann-Cosel et al 2011g,Pasture,6.5,Tropical moist forest,Primary forest,-9999,Panama,9.203358,-79.716896
Neumann-Cosel et al 2011,Neumann-Cosel et al 2011h,Pasture,6.5,Tropical moist forest,Primary forest,-9999,Panama,9.203358,-79.716896
Becknell 2012,Becknell 2012G,Pasture,6.5,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012H,Pasture,6.5,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Cifuentes Jara 2008,Cifuentes Jara 2008m,Pasture,7,Tropical moist forest,Primary forest,-9999,Costa Rica,9.7793,-84.9552
Cifuentes Jara 2008,Cifuentes Jara 2008n,Pasture,7,Tropical moist forest,Primary forest,-9999,Costa Rica,9.8446,-84.5281
Eaton et al 2009,Eaton et al 2009l,Arable agriculture,7,Tropical dry forest,Primary forest,-9999,Mexico,18.42229,-89.391083
Read et al 2003,Read et al 2003x,Shifting agriculture,7,Tropical dry forest,Primary forest,-9999,Mexico,17.88333333,-89.28333333
Benavides et al 2006,Benavides et al 2006F,Shifting agriculture,7,Tropical rainforest,Primary forest,-9994,Brazil,-3,-69.5
Aweto et al 1981,Aweto et al 1981c,Shifting agriculture,7,Tropical moist forest,Primary forest,-9999,Nigeria,6.75,3.5
Eaton et al 2006,Eaton et al 2006j,Shifting agriculture,7,Tropical dry forest,Primary forest,-9999,Mexico,18.81666667,-89.45
Gehring et al 2005,Gehring et al 2005f,Shifting agriculture,7,Tropical moist forest,Primary forest,-9999,Brazil,-3,-60
Gehring et al 2005,Gehring et al 2005o,Shifting agriculture,7,Tropical moist forest,Primary forest,-9999,Brazil,-3,-60
Lebrija-Trejos et al 2008,Lebrija-Trejos et al 2008e,Shifting agriculture,7,Tropical dry forest,Primary forest,-9999,Mexico,16.65833333,-95.01111111
Uhl & Buschbacher 1988,Uhl & Buschbacher 1988i,Pasture,7.5,Tropical rainforest,Primary forest,-9999,Brazil,-2.99,-47.35
Becknell 2012,Becknell 2012I,Pasture,7.5,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012J,Pasture,7.5,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Werner 1984,Werner 1984b,Shifting agriculture,8,Tropical rainforest,Primary forest,-9999,Costa Rica,10.43333333,-83.98333333
Uhl & Buschbacher 1988,Uhl & Buschbacher 1988c,Pasture,8,Tropical rainforest,Primary forest,-9999,Brazil,-2.99,-47.35
Uhl & Buschbacher 1988,Uhl & Buschbacher 1988d,Pasture,8,Tropical rainforest,Primary forest,-9999,Brazil,-2.99,-47.35
Uhl & Buschbacher 1988,Uhl & Buschbacher 1988j,Pasture,8,Tropical rainforest,Primary forest,-9999,Brazil,-2.99,-47.35
Uhl & Buschbacher 1988,Uhl & Buschbacher 1988m,Pasture,8,Tropical rainforest,Primary forest,-9999,Brazil,-2.99,-47.35
Eaton et al 2009,Eaton et al 2009m,Arable agriculture,8,Tropical dry forest,Primary forest,-9999,Mexico,18.42229,-89.391083
Eaton et al 2009,Eaton et al 2009n,Arable agriculture,8,Tropical dry forest,Primary forest,-9999,Mexico,18.42229,-89.391083
Eaton et al 2009,Eaton et al 2009o,Arable agriculture,8,Tropical dry forest,Primary forest,-9999,Mexico,18.42229,-89.391083
Eaton et al 2009,Eaton et al 2009p,Arable agriculture,8,Tropical dry forest,Primary forest,-9999,Mexico,18.42229,-89.391083
Hughes et al 1999,Hughes et al 1999c,Arable agriculture,8,Tropical moist forest,Primary forest,-9999,Mexico,18.58333333,-95.08333333
Hughes et al 1999,Hughes et al 1999d,Arable agriculture,8,Tropical moist forest,Primary forest,-9999,Mexico,18.58333333,-95.08333333
Read et al 2003,Read et al 2003e,Shifting agriculture,8,Tropical dry forest,Primary forest,-9999,Mexico,18.81666667,-89.38333333
Read et al 2003,Read et al 2003f,Shifting agriculture,8,Tropical dry forest,Primary forest,-9999,Mexico,18.81666667,-89.38333333
Read et al 2003,Read et al 2003o,Shifting agriculture,8,Tropical dry forest,Primary forest,-9999,Mexico,18.45,-88.93333333
Read et al 2003,Read et al 2003y,Shifting agriculture,8,Tropical dry forest,Primary forest,-9999,Mexico,17.88333333,-89.28333333
Kennard et al 2002,Kennard et al 2002e,Shifting agriculture,8,Tropical dry forest,Primary forest,-9999,Bolivia,-16.75,-61.75
Benavides et al 2006,Benavides et al 2006G,Shifting agriculture,8,Tropical rainforest,Primary forest,-9993,Brazil,-3,-69.5
Jaramillo et al 2003,Jaramillo et al 2003a,Pasture,8,Tropical rainforest,Primary forest,-9999,Mexico,18.58333333,-95.08333333
Jaramillo et al 2003,Jaramillo et al 2003b,Pasture,8,Tropical rainforest,Primary forest,-9999,Mexico,18.58333333,-95.08333333
Jaramillo et al 2003,Jaramillo et al 2003c,Pasture,8,Tropical rainforest,Primary forest,-9999,Mexico,18.58333333,-95.08333333
